icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
71c056,1669353092,,1669354491,,TWB9808 ,,,,,0,0
750329,1669348870,WMSA,1669353359,WMSA,TEGUH01 ,2121,330,4100,124,0,1
8520c0,1669352869,RJTF,1669354319,RJAN,,719,10,17799,1206,1,0
84cb5b,1669349884,RJAA,1669354379,RJCJ,JJP113  ,12955,1534,2621,118,0,1
86d295,1669349348,RJGG,1669351049,,APJ487  ,1218,147,,,0,0
7c4990,1669353663,YSSY,1669354916,YWLM,PE216   ,2227,24,6297,356,0,1
7c6178,1669353821,,1669354813,YSSY,RSCU201 ,,,6371,77,0,2
a3df4a,1669349805,KATL,1669353193,KMCO,FFT1016 ,1514,15,3539,31,0,5
a6b174,1669350446,KMDW,1669352002,K3CK,N530LN  ,7172,13,11701,56,0,23
aca01a,1669351809,KBUR,1669354784,KOAK,SWA4257 ,1288,143,1676,124,2,5
c035f8,1669349281,CYVR,1669352603,CYYC,DAT107  ,1082,57,3169,5,0,5
c82817,1669350870,NZMZ,1669352275,NZGR,GBA963  ,2764,1418,11152,2414,1,2
040173,1669351732,LIRF,1669355868,LFML,ETH726  ,379,72,3755,190,0,4
71bf47,1669352497,RKSS,1669354512,,AAR8955 ,1119,119,,,2,0
7504fe,1669350271,,1669355024,WMKP,AXM1572 ,,,14491,674,0,0
760981,1669351110,,1669352397,,PIA322  ,,,,,0,0
781793,1669352044,,1669355046,ZGSZ,CSN3570 ,,,4968,194,0,0
800cc9,1669353240,,1669355624,VECC,IAD583  ,,,341,4,0,2
86d2d9,1669353150,RJBB,1669355065,,APJ185  ,2017,167,,,0,0
884214,1669351830,VTCC,1669355096,,BKP246  ,1914,171,,,0,0
7c2baf,1669350636,YPPH,1669351825,,VOZ1637 ,1259,5,,,0,0
7c56c7,1669352475,,1669353891,YSBK,FD284   ,,,288,8,0,2
7c7480,1669351061,,1669352338,YLED,XAQ     ,,,8238,307,0,2
a33272,1669348822,KATL,1669353617,KPHL,FFT9230 ,1405,0,1920,41,0,11
a4e0d2,1669350020,KMCC,1669351939,CL56,REH05   ,886,76,8130,1242,2,6
c82081,1669350630,NZWN,1669352810,NZCH,ANZ361  ,6667,1397,25,122,0,3
51005e,1669350966,UMMS,1669351634,,BRU8001 ,2463,329,,,0,0
4bab30,1669352094,,1669353834,,THY1QR  ,,,,,0,0
71c016,1669351832,,1669352818,,JNA505  ,,,,,0,0
781617,1669350513,,1669351615,,CES9791 ,,,,,0,0
79a072,1669350741,,1669352000,,CES2797 ,,,,,0,0
800c01,1669351715,VECC,1669353835,,IGO207  ,806,2,,,0,0
8467a0,1669348870,RJAA,1669353772,RJCJ,APJ575  ,11428,1412,2269,80,0,1
846f00,1669349598,,1669351915,RJOO,JAL2084 ,,,3132,22,0,2
863b98,1669353441,,1669354526,RJGG,        ,,,20368,384,0,0
8880a5,1669352630,VVGL,1669354183,,HVN163  ,13060,1684,,,0,0
8880e9,1669351946,VVGL,1669353126,,VJC141  ,12745,1127,,,1,0
8881c6,1669351742,,1669353136,VVGL,VJC172  ,,,26151,1874,0,1
8991d7,1669351756,,1669352721,RCTP,SJX871  ,,,13092,1865,0,0
7c4510,1669352971,YSSY,1669355055,,QJE1535 ,892,130,,,0,0
7c6b2f,1669349859,,1669354461,NZAA,JST284  ,,,1349,76,0,2
c8279f,1669349384,,1669350683,,CGE73   ,,,,,0,0
c87f03,1669349042,,1669351095,NZWN,HER02   ,,,5914,398,0,0
0d0ded,1669351341,MMMX,1669352304,,VIV1176 ,743,58,,,0,0
46b82a,1669348997,LLBG,1669354975,,AEE929  ,6534,858,,,1,0
4bb869,1669353125,LTFJ,1669354495,,PGT7CJ  ,2366,590,,,1,0
75824c,1669349567,,1669351919,RPLL,GAP2522 ,,,2542,22,0,1
7585e1,1669349791,,1669352469,RPLL,APG332  ,,,2339,7,0,1
780ec4,1669352479,,1669355488,,AMU162  ,,,,,0,0
80148d,1669349371,,1669355897,VECC,IGO751  ,,,133,2,0,2
880843,1669349912,VTBD,1669350869,,AIQ3254 ,4389,591,,,0,0
7c3031,1669353436,,1669354977,YBAF,JSZ     ,,,582,3,0,3
7c4362,1669353145,YMAY,1669355217,YMAY,NLG     ,550,544,2334,361,0,0
a32be6,1669350406,KBUR,1669353161,KSJC,EJA303  ,745,159,278,102,2,3
a73b7e,1669351818,KSJC,1669355023,KSNA,SWA4777 ,417,95,2679,13,2,2
a9d39e,1669353443,KMLE,1669354343,KTQE,N732MT  ,9294,46,9265,334,4,6
a9d39e,1669350495,86NE,1669351228,KMLE,N732MT  ,14119,230,9275,46,0,14
c81c9e,1669350660,,1669351416,NZWN,ANZ320L ,,,8505,528,0,0
06a097,1669352378,OTHH,1669355230,OMSJ,QTR1038 ,1026,11,401,41,1,1
45d963,1669349857,EKBI,1669351406,EKCH,VKG4588 ,1164,206,4634,10,0,1
4bab26,1669352158,,1669354049,,THY7TK  ,,,,,0,0
780e41,1669350400,,1669352008,ZGSZ,CSN3667 ,,,8505,369,0,2
841b28,1669351272,RJCC,1669354461,,JJP110  ,3663,516,,,1,0
7c0106,1669351399,,1669352385,YPPF,AHK     ,,,594,13,0,4
7c627b,1669351434,,1669352800,YPAD,QLK145  ,,,740,13,0,3
7c6728,1669352715,YSBK,1669354685,,UNU     ,396,16,,,1,0
8a0813,1669349585,,1669351834,,BTK7147 ,,,,,0,0
abc2fb,1669348912,KMIA,1669355001,MDBG,N857ST  ,1659,142,10692,1477,1,2
ad20e0,1669353786,,1669354775,KCHA,N945MT  ,,,6354,165,0,9
c04850,1669354066,CYYC,1669355319,,JZA140  ,1341,28,,,0,0
c07446,1669352935,CYXE,1669354374,,CGSAV   ,606,21,,,1,0
c07446,1669349115,,1669350596,CYXE,CGSAV   ,,,676,14,0,2
06a090,1669349015,OTHH,1669350320,OEDR,QTR1150 ,1238,11,13002,2252,1,0
0d0a18,1669350241,MMTJ,1669353747,,VOI418  ,6874,719,,,2,0
440826,1669352667,LOWG,1669354035,LOWW,AUA974P ,1240,42,753,15,0,2
4baa42,1669351214,LTFM,1669352720,,THY1UB  ,5491,563,,,0,0
7110f9,1669351699,,1669353508,,FAD308  ,,,,,0,0
71c324,1669350929,RKUC,1669352529,,TWB873  ,11640,1742,,,0,0
8014e6,1669352613,VOMM,1669354885,VOBL,AKJ1320 ,682,83,3940,53,1,2
8880d8,1669352994,VVGL,1669354851,,VJC453  ,12759,1524,,,1,0
7c5357,1669352110,YBBN,1669353195,,VOZ1265 ,1806,49,,,0,0
7c809a,1669353632,,1669355285,YSBK,ZOS     ,,,606,14,0,2
7cf9e2,1669351404,YPEA,1669355231,YPEA,VIPR77  ,909,22,549,15,0,1
a585ca,1669352372,KT54,1669353478,KHOU,LIFE5   ,4516,855,13076,275,1,8
a8063e,1669349717,KATL,1669354109,KBWI,NKS1178 ,1576,30,2211,21,0,7
aa963e,1669349512,KOAK,1669353818,KBOI,SWA2040 ,1786,86,1225,196,1,9
ac0b61,1669351309,,1669353262,KLAX,UAL466  ,,,2724,60,0,7
00b089,1669349587,FAOR,1669350981,,SFR286  ,3382,134,,,2,0
02007d,1669351640,,1669353207,GMMN,RAM510Z ,,,482,85,0,1
4692c7,1669351512,LGRP,1669353665,,AEE201  ,899,48,,,1,0
7020a9,1669349717,VGZR,1669351223,,UBG105  ,4973,371,,,2,0
71c305,1669349434,,1669352362,,JJA1164 ,,,,,0,0
76b4ec,1669349677,,1669353320,,SIA725  ,,,,,0,0
80152e,1669350933,,1669353762,,IGO5271 ,,,,,0,0
85188c,1669350190,,1669353418,RJTT,JAL692  ,,,4140,73,0,2
86e5ab,1669349833,,1669352865,RJNA,JA86GR  ,,,1258,38,0,1
88596a,1669352350,,1669355872,,TVJ401  ,,,,,0,0
8960d8,1669351141,,1669355414,,UAE945  ,,,,,0,0
7c1697,1669352891,YPPF,1669354513,YPPF,EQX     ,1010,66,322,13,2,4
7c4403,1669354164,,1669355997,YSBK,PKAR21  ,,,521,8,0,2
7c5855,1669350766,YPPF,1669352878,YPPF,RQF     ,1268,43,329,5,2,4
7c6ff9,1669349711,YTDN,1669350463,YWON,WEJ     ,2439,326,23609,876,0,2
8a0831,1669350127,,1669351767,,BTK7288 ,,,,,0,0
c055f7,1669350481,CYVR,1669353560,KPDX,JZA658  ,1184,42,1048,39,0,22
c05ccf,1669349254,CYPQ,1669351173,CYUL,CGJDU   ,4218,524,2448,2,0,4
c819de,1669350716,NZWN,1669351635,,ANZ319L ,7128,825,,,0,0
0a004a,1669348803,,1669349866,DAAG,DAH6313 ,,,23793,1392,0,0
7502db,1669352567,,1669353359,,MXD804  ,,,,,0,0
750484,1669352882,WMKK,1669354589,,AXM707  ,10913,1213,,,0,0
758525,1669351306,,1669354256,RPLL,PAL454P ,,,967,15,0,1
800bc7,1669350631,VIDP,1669353109,,SEJ751  ,1586,7,,,1,0
846932,1669350578,,1669353114,RJTT,ANA1080 ,,,5580,156,0,1
8468aa,1669353047,,1669355623,RJTT,ANA90   ,,,4747,111,0,1
868316,1669351170,RJFF,1669355390,RJTT,ANA254  ,1231,81,4112,73,0,2
8832ba,1669350258,VTBD,1669351273,,TLM784  ,5484,629,,,0,0
7c01b3,1669351209,YSSY,1669354251,,AM252   ,844,16,,,0,0
7c42d8,1669352861,YPPH,1669354737,,NWK2930 ,1322,17,,,0,0
7c530d,1669349529,YBNA,1669353907,YSSY,QLK67D  ,274,13,1924,14,0,2
7c6d37,1669350122,YMML,1669353989,YPAD,VOZ231  ,1186,40,1205,1,1,3
a58d42,1669352868,KCHA,1669353897,55GE,N457MT  ,7179,134,17904,826,0,6
a58d42,1669349290,55GE,1669350204,KCHA,N457MT  ,14128,705,6247,96,0,9
a91700,1669352081,KFLL,1669352780,,NKS829  ,11898,1033,,,0,0
abedec,1669348984,KCRQ,1669353051,KSFO,N868PZ  ,231,85,792,103,1,5
020095,1669353492,,1669355563,GMMN,RAM526S ,,,298,85,0,1
151e17,1669352025,UUEE,1669355991,,PBD6965 ,2262,145,,,0,0
39c902,1669350646,LFML,1669351523,LFML,SAMU13  ,13252,175,4688,305,1,4
4baad4,1669351924,,1669353387,,THY9WP  ,,,,,0,0
758426,1669352522,,1669355497,RPLL,SRQ6044 ,,,2430,22,0,1
7809e9,1669352620,,1669354041,,CSN3858 ,,,,,0,0
800c0c,1669349762,,1669354340,VIDP,VTI970  ,,,2980,23,0,1
800d2d,1669349220,VIDN,1669351040,VIDP,IGO5011 ,13563,1377,2989,8,0,1
846910,1669349473,RJTT,1669353806,,ANA453  ,4286,225,,,0,0
846954,1669349535,,1669352905,RJTT,ANA646  ,,,4126,80,0,2
885223,1669351454,VTBS,1669352118,,THA413  ,3320,326,,,0,0
899149,1669349286,,1669351017,RCSS,MDA368  ,,,2470,78,0,1
7c055b,1669350878,YBCG,1669354057,YBAF,BCD     ,1890,328,240,11,0,2
7c44b4,1669352514,,1669354157,YBBN,UTY2823 ,,,1256,49,0,2
7c8170,1669350526,YMPC,1669352631,YMPC,ZUQ     ,398,34,1300,19,0,4
a1c178,1669349257,FD83,1669353174,KISM,N212FL  ,4500,163,6021,127,1,5
451e8b,1669353651,LBSF,1669355470,LBWV,LZB971  ,860,284,28015,1228,0,0
4601fb,1669353085,ENCN,1669355789,ENBR,WIF2H   ,7430,912,1905,131,0,1
4951ca,1669353639,LPPR,1669355835,LPPT,TAP1925 ,1037,84,1989,75,1,4
750452,1669353456,WMKK,1669355797,,AXM824  ,10521,1213,,,0,0
7504eb,1669353944,WMKK,1669354602,,AXM5206 ,9090,977,,,0,0
780be1,1669353213,,1669355458,ZGSZ,CHH7722 ,,,9436,422,0,2
801415,1669348953,VOBL,1669353208,VABM,IGO7285 ,1466,83,539,49,1,0
872d3a,1669350822,RJST,1669352180,RJSS,        ,12629,28,692,25,0,1
86d5a1,1669350884,,1669353386,RJAA,APJ502  ,,,16718,1671,0,1
888128,1669350455,VVCI,1669351808,,VJC723  ,213,13,,,1,0
896587,1669353112,OMSJ,1669355778,OTBD,ABY135  ,1386,33,2488,10,0,2
7c498f,1669352340,YSCB,1669355386,YWLM,PE314   ,653,10,6677,318,0,1
7c76d8,1669354762,YTYH,1669355583,YTYH,XRE     ,3699,990,5575,609,0,1
7c76d8,1669349184,YTYH,1669350147,YTYH,XRE     ,5047,762,5928,861,0,1
a1ee27,1669349801,KBUR,1669352768,KSFO,SWA3346 ,1501,166,137,118,2,5
a973de,1669351563,KLAS,1669355219,KLAS,N708SH  ,1667,146,1506,146,2,3
abbd2d,1669349595,KOAK,1669353588,OR47,SWA2426 ,1841,86,2679,301,1,16
c0509f,1669354140,CYVR,1669355129,,WEN3330 ,1329,42,,,0,0
c82431,1669350099,,1669352819,NZWN,SDA805  ,,,5977,498,0,0
06a374,1669350140,OKBK,1669353617,OTHH,QTR4M   ,3278,211,1000,41,0,1
15202e,1669349223,,1669351399,UUEE,AFL1185 ,,,4217,61,0,0
4601f8,1669354465,EFHK,1669355678,EETN,FIN6BL  ,717,100,750,93,1,1
4ca9c1,1669352554,LIPE,1669354257,LIME,RYR98   ,1773,206,3577,142,0,1
758560,1669353083,RPLL,1669354843,,APG693  ,752,30,,,1,0
780d66,1669351565,,1669355212,,CSZ9396 ,,,,,0,0
846b6c,1669351861,RJTT,1669354732,,JAL917  ,4869,301,,,0,0
7c6aec,1669350888,YSTW,1669353728,YSSY,VEM     ,599,17,1190,16,0,2
a1c869,1669349603,,1669352328,KBFI,N214AL  ,,,670,74,0,7
a703e4,1669351222,4NY4,1669354357,K4N1,N551HU  ,5081,21,5636,208,0,7
a8f6ef,1669349925,KFLL,1669351969,KMCO,NKS676  ,2453,378,3831,39,2,6
aa649c,1669352231,KDEN,1669354049,,SWA3808 ,3864,108,,,4,0
c822c6,1669350400,,1669354855,NZAA,CVA391  ,,,1700,99,0,2
06a2e6,1669353007,,1669355427,OTHH,QTR483  ,,,3012,18,0,1
0d0d66,1669350420,MMMX,1669351793,,VIV1036 ,1022,96,,,0,0
4bc849,1669354110,,1669355987,LTFJ,PGT8MX  ,,,5604,270,0,2
7808fe,1669355064,ZGSZ,1669355718,,CSZ9915 ,5159,590,,,0,0
80145b,1669352212,,1669354045,VOBL,IGO6066 ,,,4024,53,0,2
80149f,1669352452,VIDP,1669354586,VIPT,IGO7324 ,509,7,29373,1480,1,0
880855,1669350563,VTBD,1669351569,,AIQ9116 ,4136,568,,,0,0
7c6277,1669349221,YSSY,1669351758,YSCB,QLK437  ,782,8,81,18,0,1
7c7a3e,1669349815,YBBN,1669354319,YSSY,VOZ950  ,1385,18,2286,8,0,2
7c7b5f,1669349940,,1669351005,YPPF,YNL     ,,,503,13,0,4
7c7bd5,1669351669,YMML,1669353713,,QJE6071 ,557,33,,,1,0
a32422,1669351562,5LL5,1669352328,KEZI,N301MF  ,10763,626,15882,599,0,2
a4fd69,1669351460,,1669352157,KSLC,N420UH  ,,,2485,145,0,3
a6cc54,1669349442,,1669351991,MMMX,VOI795  ,,,574,111,0,1
c05f0f,1669353842,CYVR,1669354708,,JZA444  ,713,57,,,0,0
c81110,1669354511,NZCH,1669355217,NZRT,ZKHQT   ,1127,160,8589,82,1,3
c82089,1669352486,NZAA,1669355173,NZWN,ANZ447  ,1308,130,7480,498,0,0
151ffa,1669350335,,1669355120,UUEE,AFL1279 ,,,14028,480,0,0
3c4dc7,1669350271,,1669354709,EDDM,DLH1HP  ,,,1869,3,0,3
4d2248,1669353468,LIRA,1669354796,,RYR7591 ,1496,98,,,0,0
75043e,1669350186,WMKK,1669350820,,AXM526  ,10788,969,,,0,0
7c769b,1669351282,YBUP,1669352608,YMMB,XPP     ,8300,822,1568,83,0,0
a0b6f5,1669351644,DE25,1669353285,4PS4,N145TJ  ,7876,121,8813,91,0,13
a5d1f7,1669350529,KBUR,1669354277,KPHX,SWA2427 ,1345,128,839,124,2,10
3c4dd6,1669353801,LOWG,1669355932,EDDM,DLH08H  ,672,42,1155,34,0,4
4bab47,1669351916,,1669353499,,THY2XN  ,,,,,0,0
76e723,1669351163,YPEA,1669354976,YPEA,EGLE838 ,643,14,656,23,0,1
8965f8,1669350022,OMSJ,1669353778,,ABY177  ,9372,682,,,0,0
7c6705,1669351291,YBRS,1669352469,YBRS,UMV     ,518,41,1311,18,3,7
7c6d91,1669350270,YSSY,1669355165,YMML,QFA455  ,1008,92,1603,63,0,4
a1c90e,1669351250,,1669353106,KPDX,HAL40   ,,,2073,62,0,23
452051,1669350913,EBBR,1669354648,LFRS,BCS74R  ,597,20,20574,1077,2,0
48ada5,1669351747,EYVI,1669354515,EPWA,LOT774  ,2576,252,1590,11,0,1
511110,1669353883,ESMQ,1669355886,ESSA,SAS92P  ,5231,741,659,72,0,0
71bf63,1669351238,RKSS,1669353297,RKPE,ABL8813 ,967,88,14406,1178,2,2
750041,1669351294,,1669353628,WMSA,FFM1435 ,,,4347,163,0,1
758368,1669353279,RPLL,1669355245,,PAL597  ,586,15,,,1,0
8001ac,1669352372,VECC,1669354911,,AIC709  ,1512,4,,,0,0
800b0a,1669348864,VOBL,1669351139,,IAD1452 ,2777,152,,,1,0
851120,1669348883,RJTT,1669351169,,JAL567  ,1612,88,,,0,0
7c005d,1669353091,,1669355031,YSSY,PE425   ,,,1052,31,0,2
7c5e87,1669349174,YMMB,1669351107,YMMB,SYH     ,741,15,946,15,0,0
7c77a0,1669351762,YSSY,1669353358,YSSY,XWY     ,1676,39,1504,31,0,2
ad0919,1669349586,KLAS,1669351719,,SWA448  ,1105,138,,,2,0
c01723,1669349405,,1669351846,RKSI,ACA028  ,,,29258,793,0,0
c820ab,1669350552,NZPM,1669353767,NZAA,ANZ118M ,831,174,3062,160,1,2
0d09b9,1669351626,MMMX,1669352622,,SLI2632 ,1883,109,,,0,0
45ce4e,1669351522,EGNX,1669353801,EGAA,AWC6978 ,804,89,8496,497,0,2
478092,1669353535,ENFL,1669355262,ENBR,WIF16P  ,1094,400,1583,108,0,1
3c6747,1669352635,EDDW,1669355998,EDDM,DLH4LY  ,839,79,3397,11,0,3
88596f,1669349634,VTBS,1669350647,,TVJ960  ,2274,348,,,0,0
8965b6,1669351871,,1669353079,OMDB,FDB1462 ,,,1761,56,0,2
abbb03,1669353532,2PA7,1669354578,0PA4,N855ME  ,14431,659,5205,54,0,17
152002,1669351362,UUEE,1669355248,,AFL1122 ,3663,572,,,0,0
48c2a2,1669351745,LBSF,1669355988,,RYR745K ,1126,322,,,0,0
71c294,1669352203,RKSI,1669355514,RJFF,TWB295  ,5770,747,2328,35,0,0
71c371,1669350466,,1669353174,RKSS,AAR8944 ,,,2329,27,0,4
7504df,1669349823,WBKK,1669351407,,NEP358  ,939,19,,,0,0
7584f0,1669350189,,1669352770,RPLL,GAP2964 ,,,2165,0,0,1
80139c,1669351999,VOMM,1669355350,,IGO502  ,1044,106,,,1,0
8409ed,1669350030,RJFF,1669350719,,JTA057  ,2661,325,,,0,0
861eb4,1669349104,RJTT,1669353853,RJCJ,ADO23   ,2082,347,5419,293,0,1
862cc8,1669350361,RJTT,1669352579,,JAL577  ,1535,57,,,0,0
885966,1669352281,,1669353656,VTBS,TVJ371  ,,,9479,432,0,1
7c05b5,1669353894,,1669355252,YPAD,BEV     ,,,1608,16,0,3
7c7cd0,1669349701,YSSY,1669353014,YBCG,JST416  ,1787,6,5825,267,0,2
ac0818,1669348881,,1669351545,KOAK,SWA2068 ,,,1457,109,0,5
c82350,1669352840,,1669353640,NZPP,SDA506  ,,,7233,450,0,0
c81a5a,1669349260,NZGS,1669353321,NZWN,ANZ289L ,415,102,6800,437,0,0
e80273,1669353592,SPJC,1669354306,,LPE2406 ,1693,247,,,3,0
00b025,1669353343,FAOR,1669354778,,SAA531  ,3741,96,,,2,0
4b9903,1669353473,LCEN,1669354766,,FHY913  ,1141,44,,,0,0
4ba8e1,1669348861,,1669351718,LTFJ,THY7LT  ,,,3322,133,0,2
71c329,1669351576,RKSS,1669353589,,TWB9717 ,484,42,,,2,0
800b18,1669348861,,1669352712,VIDP,GOW327  ,,,1346,38,0,2
8467d8,1669350470,RJTT,1669355889,RJFF,JAL319  ,4205,111,2341,28,0,0
86cf4d,1669351354,RJTT,1669354254,,SNJ75   ,4580,233,,,0,0
888191,1669349061,VVCI,1669350447,,BAV2011 ,1236,5,,,1,0
7c3e0c,1669351025,YSMB,1669351950,YPEC,MJI     ,5502,33,126,0,0,1
a07172,1669353132,,1669354415,KAUN,CMD6    ,,,3344,4,0,6
a5fd2d,1669352543,KSNA,1669355832,KSJC,SWA2144 ,691,89,268,125,0,3
c016b4,1669351922,CYHM,1669354717,,CFIPN   ,320,1,,,0,0
750501,1669352142,WBKK,1669354573,,9MSBH   ,783,80,,,0,0
780300,1669351525,,1669354765,ZGSZ,CSH9333 ,,,4031,140,0,0
781e6e,1669351367,,1669352990,ZGSZ,CSS7358 ,,,7129,300,0,0
800b82,1669351959,,1669355019,VIDP,SEJ8475 ,,,3014,8,0,1
84715c,1669348990,RJAA,1669353464,RJBB,JJP207  ,14292,1793,2635,46,0,1
885306,1669350150,,1669351781,VTBS,THD202  ,,,8059,356,0,1
7c083c,1669349423,,1669351443,YBAF,BWU     ,,,471,19,0,3
7c52fa,1669352722,,1669354516,YBBN,QLK539D ,,,1021,26,0,2
7c6273,1669350371,YMML,1669352983,,QLK89   ,1259,10,,,1,0
7c7ef0,1669352212,YWLM,1669354618,YSCH,CFH21   ,3077,485,1438,5,0,0
8a04a8,1669350516,,1669351195,,CTV988  ,,,,,0,0
a07075,1669350029,KAPA,1669351783,WY45,N1273A  ,1276,86,3494,278,0,3
152048,1669351328,,1669355291,,SVR123  ,,,,,0,0
155c2f,1669354114,,1669355421,UUEE,SSF151  ,,,8393,298,0,0
0d0d86,1669349964,MMMX,1669351437,,VIV1108 ,151,111,,,0,0
71c098,1669350188,,1669352909,RKSS,TWB9702 ,,,2104,4,0,4
7583d1,1669351362,,1669353839,RPLL,CEB197  ,,,3112,53,0,1
7584f2,1669349992,RPLL,1669351624,,GAP2079 ,367,68,,,1,0
7817cb,1669351525,,1669352513,,QDA6001 ,,,,,0,0
852539,1669349260,RJTT,1669354229,RJTT,        ,10284,27,11549,35,0,3
86e184,1669349813,,1669353490,RJCJ,ANA1181 ,,,4119,209,0,1
885968,1669354968,VTBS,1669355816,,TVJ970  ,2911,348,,,0,0
8881c0,1669352556,,1669353838,VVGL,BAV1672 ,,,26427,1912,0,0
7c6693,1669353191,YPPF,1669355668,YSYN,UJP     ,542,13,11881,1348,2,1
a7395d,1669352215,9CL2,1669353967,KM90,N5649D  ,5931,1491,9424,1474,0,7
a6bcc8,1669349513,KMCO,1669353016,KPNS,NKS1097 ,1572,153,2441,62,1,15
adc171,1669351534,SD99,1669353033,K4X4,N986AC  ,3788,694,20112,2454,2,0
4ba949,1669352124,LTFJ,1669352815,LTBA,THY6999 ,4162,575,4675,1062,1,1
71013c,1669352863,,1669354478,,FAD324  ,,,,,0,0
71c312,1669350954,RKSS,1669352966,,KAL1121 ,266,2,,,2,0
7583f8,1669349791,RPLL,1669350838,,CEB506  ,62,30,,,1,0
78922c,1669350191,,1669354585,VHHH,HKE821  ,,,3154,16,0,1
80145e,1669353142,VOBL,1669354453,,IGO496  ,2528,175,,,0,0
800bde,1669352178,VOBL,1669354690,,SEJ531  ,2856,182,,,0,0
8466a0,1669349550,,1669351702,RJBB,JJP350  ,,,2985,15,0,1
845daa,1669350253,,1669351855,RJGG,ANA304  ,,,5824,178,0,0
845dee,1669352511,RJTT,1669355560,,ANA565  ,4730,332,,,0,0
89658c,1669352697,,1669355634,OMUQ,A6RAK   ,,,15757,121,0,2
7c3321,1669352481,YPMQ,1669355872,YSSY,RXA6373 ,1090,125,1809,6,0,2
7c6b0c,1669353510,,1669355864,YSSY,JST661  ,,,2416,31,0,2
8afd26,1669350387,,1669352545,,MXD540  ,,,,,0,0
aa73e9,1669349284,KOAK,1669354822,KGEG,SWA559  ,3573,363,460,129,1,17
151e80,1669350365,,1669352316,,KAR510  ,,,,,0,0
0d0381,1669351158,MMMX,1669351987,,SLI132  ,186,119,,,0,0
0d0e29,1669352260,MMMX,1669353523,,AMX562  ,236,111,,,0,0
468e45,1669354673,LGAV,1669355533,,SEH2HR  ,7912,1331,,,0,0
4d2244,1669352892,,1669354209,,RYR9FF  ,,,,,0,0
86d259,1669352800,RJBE,1669355059,,SNJ127  ,745,37,,,0,0
880c41,1669350951,,1669352258,VTBD,AIQ3230 ,,,22650,1064,0,0
89652b,1669350791,OMDW,1669353682,OMDW,EFC28B  ,3908,102,2946,3,0,1
7c4877,1669351862,YMAY,1669355426,YSSY,RXA6774 ,2889,422,2194,24,0,2
7c6813,1669349070,YMMB,1669351278,YMMB,UUD     ,785,60,995,15,0,0
8a0821,1669354020,,1669355367,,BTK7011 ,,,,,0,0
acaa74,1669349351,KMCO,1669355435,KBWI,NKS2078 ,1490,176,2226,21,1,7
c0256e,1669354294,,1669355826,CYYC,WEN3152 ,,,848,5,0,5
c059d2,1669350870,KJFK,1669354402,CYHM,CJT246  ,881,64,1581,28,0,6
3a46b1,1669350825,,1669351469,NTTM,VT430   ,,,12853,324,0,1
4bb872,1669350583,,1669352489,LTFJ,PGT1RU  ,,,3499,141,0,2
750067,1669350375,WBMU,1669352387,WBKK,MWG3252 ,7333,1865,2122,27,0,0
750463,1669353120,,1669354919,,AXM713  ,,,,,0,0
7503db,1669349853,,1669353017,,MXD319  ,,,,,0,0
76d1c6,1669351360,,1669355489,,TGW360  ,,,,,0,0
7807a8,1669349220,ZGSZ,1669349865,,CSZ9507 ,4662,559,,,0,0
884212,1669352473,,1669353862,VTBS,BKP262  ,,,7646,341,0,1
8963ab,1669349253,,1669352993,OMAA,ETD314  ,,,25641,933,0,1
899029,1669353843,RCSS,1669355634,,MDA1281 ,2828,428,,,0,0
7c0a57,1669350201,YEES,1669353251,YBOG,CBT     ,8662,941,13571,1607,1,0
7c1c23,1669349310,YEUA,1669352549,YMPC,FUD     ,7984,1926,1153,11,0,4
7c33c6,1669348878,,1669350572,YMMB,KIG     ,,,1448,15,0,0
7c6b18,1669353090,NZWN,1669355636,NZAA,JST262  ,7635,879,1419,76,0,2
a85caa,1669350878,KLAX,1669354090,KOAK,NKS1454 ,663,7,1534,109,2,5
a9555b,1669350562,KBLM,1669351683,KFRG,TFF910  ,240,46,1140,55,3,1
abb52c,1669350183,KBWI,1669352740,KSYR,SWA133  ,695,54,5642,199,1,14
c01d16,1669351929,CYMX,1669355645,CYHM,CJT575  ,1839,13,1026,6,1,6
c81c31,1669348860,,1669349895,NZPI,ZKSDF   ,,,10851,1791,0,2
0d0d41,1669350114,MMMX,1669351155,,VOI335  ,421,35,,,0,0
489329,1669351918,EPKK,1669353941,EPWA,LOT3910 ,1177,277,1759,3,0,1
48ad86,1669351695,EPWR,1669353830,EPWA,LOT85A  ,10200,1720,1719,3,1,1
75807f,1669352031,RPLL,1669353683,,GAP2785 ,758,7,,,1,0
7584f1,1669348832,,1669351403,RPLL,GAP2972 ,,,2413,15,0,1
780246,1669350998,,1669353261,ZGSZ,CUA2855 ,,,9801,430,0,2
780488,1669353393,,1669354159,ZGSZ,CSN5592 ,,,3594,110,0,0
7805fe,1669353588,,1669354266,ZGSZ,CSN3966 ,,,3974,133,0,0
781214,1669353200,,1669354436,VMMC,CES733  ,,,28861,2226,0,0
780dd4,1669349731,,1669351289,ZGSZ,CHH7768 ,,,8985,392,0,2
781c4f,1669349654,,1669350820,,CES6328 ,,,,,0,0
800bfa,1669350480,,1669354576,VOMM,AIC671  ,,,2510,45,0,1
